case_id,category,method,should_reject,rejected,syntax_success,interface_success,runtime_success,trade_validity,semantic_match,risk_violation,backtest_success,end_to_end_success,errors
qsi_021,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,False,False,False,False,False,False,runtime_error: NameError: name 'enumerate' is not defined
qsi_022,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_023,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_024,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_025,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_026,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_027,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_028,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,False,False,False,False,False,signal_error: no position change
qsi_029,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_030,mean_reversion,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
