case_id,category,method,should_reject,rejected,syntax_success,interface_success,runtime_success,trade_validity,semantic_match,risk_violation,backtest_success,end_to_end_success,errors
qsi_051,risk_constrained,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,True,True,False,
qsi_052,risk_constrained,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_053,risk_constrained,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_054,risk_constrained,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,True,False,True,True,
qsi_055,risk_constrained,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_056,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_057,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_058,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_059,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
qsi_060,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,True,True,True,True,False,False,True,False,
