case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,end_to_end_success,errors
qsi_001,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_001,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_002,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_002,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_003,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_003,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_004,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_004,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_005,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']"
qsi_005,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']"
qsi_006,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_006,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_007,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_007,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_008,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_008,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_009,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_009,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_010,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_010,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
