case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,end_to_end_success,errors
qsi_011,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_012,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_013,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_014,trend_following,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,
qsi_015,trend_following,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,True,False,False,True,False,
qsi_016,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_017,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_018,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,
qsi_019,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_020,mean_reversion,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
